imgpath,height,width,area,pothole_area,nonpothole_area
train/images1004_png_jpg.rf.1e247476232754c14cce2a445aa0b28e.jpg,64,76,4864,3197,1667
train/images1004_png_jpg.rf.1e247476232754c14cce2a445aa0b28e.jpg,60,51,3060,2595,465
train/images1004_png_jpg.rf.7f3d9c2cb9a3af7e8d11c88f463a330a.jpg,65,74,4810,2833,1977
train/images1004_png_jpg.rf.7f3d9c2cb9a3af7e8d11c88f463a330a.jpg,60,71,4260,3118,1142
train/images1005_png_jpg.rf.21b7d2f2dc1a235b6b71a38119beaa82.jpg,160,116,18560,15633,2927
train/images1005_png_jpg.rf.86c56d193a5dfa4dae23d37ddb492ba1.jpg,152,104,15808,12869,2939
train/images1005_png_jpg.rf.8817322ef32a7951d4545907bb7190d7.jpg,163,107,17441,15029,2412
train/images1006_png_jpg.rf.74c5bbcd80df2626fa58d7c77e160ef5.jpg,21,55,1155,959,196
train/images1006_png_jpg.rf.a16ed0fb0972849026c884b464473c44.jpg,44,60,2640,2119,521
train/images1006_png_jpg.rf.aa2273409e2835321d34c832cb242c74.jpg,47,60,2820,2219,601
train/images100_png_jpg.rf.31613beeb9d0ca1787b171cf869fad32.jpg,46,107,4922,3251,1671
train/images100_png_jpg.rf.34e5d110b4b7f8ab6693f9ed23f14e07.jpg,55,132,7260,4770,2490
train/images100_png_jpg.rf.a9d7ede906f2a17578c0bd8b4cfaef8d.jpg,75,147,11025,8007,3018
train/images1016_png_jpg.rf.16e8a45883915f3d6bae0715a96566a9.jpg,150,109,16350,13049,3301
train/images1016_png_jpg.rf.47a62f7fbded40a3bc97238477798ada.jpg,149,106,15794,12661,3133
train/images1004_png_jpg.rf.6281d3d37e9886a4167ab32317c2c861.jpg,62,70,4340,2883,1457
train/images1004_png_jpg.rf.6281d3d37e9886a4167ab32317c2c861.jpg,57,70,3990,1556,2434
train/images1016_png_jpg.rf.71281378c286e3fc8afbfc720ebe02ee.jpg,119,101,12019,9584,2435
train/images1022_png_jpg.rf.15095d3c94bbdfe51bb8071cbd293f7c.jpg,39,54,2106,1446,660
train/images1026_png_jpg.rf.043039548d7702026011be310c441db0.jpg,146,110,16060,12692,3368
train/images1030_png_jpg.rf.cf45f3f1169dc4884c4232678b48fa17.jpg,65,73,4745,3244,1501
train/images1019_png_jpg.rf.43e811d867768490f5b9b01bda7b41f0.jpg,31,47,1457,1006,451
train/images1019_png_jpg.rf.57203fdb8224d65396da05332f2d9392.jpg,30,49,1470,1038,432
train/images1020_png_jpg.rf.0b7d05d178fcb3dc0531c47b3938fa6e.jpg,29,49,1421,1024,397
train/images1022_png_jpg.rf.085c9cec9809facdf828f99032c11e5b.jpg,38,54,2052,1419,633
train/images1022_png_jpg.rf.293db7cdc045ce3169f6a181174f0832.jpg,37,53,1961,1390,571
train/images1023_png_jpg.rf.0a1974ef2f6eed142105d8690f3debe2.jpg,42,58,2436,1735,701
train/images1023_png_jpg.rf.6753d2563e34fee9bcb7613116d11e89.jpg,42,58,2436,1725,711
train/images1023_png_jpg.rf.f19e4704a323be28b2655b90f5c70e20.jpg,41,56,2296,1600,696
train/images1024_png_jpg.rf.2daf657f0fb44379dc6277f1306adae4.jpg,44,58,2552,1777,775
train/images1024_png_jpg.rf.93f1544a6dffc6e96aceab334e8e56a9.jpg,49,60,2940,1993,947
train/images1024_png_jpg.rf.df5a36412923e565982d34912e06bb91.jpg,44,58,2552,1773,779
train/images1025_png_jpg.rf.06c45563567193ab4bb96916e5634a3a.jpg,48,60,2880,1944,936
train/images1025_png_jpg.rf.383d1be2e0f04d3e05e1d69c451b16b3.jpg,50,62,3100,2132,968
train/images1025_png_jpg.rf.dc58b29b03f5d1ca3b4cbc17f66a0f8c.jpg,48,62,2976,2045,931
train/images1026_png_jpg.rf.7f43c1d03b69ca0d250b1453f24a60d7.jpg,162,116,18792,15621,3171
train/images1026_png_jpg.rf.f14ca34f95869ce2804c1627ca8bc6d9.jpg,150,116,17400,13616,3784
train/images1028_png_jpg.rf.a275df74b23e38c7c1c32f16c19784b7.jpg,58,68,3944,2712,1232
train/images1028_png_jpg.rf.e57276f5202dbdc493b8edc16dad3da1.jpg,54,63,3402,2362,1040
train/images1028_png_jpg.rf.e8b6244bf692ca6b27a075dab37f4308.jpg,54,63,3402,2386,1016
train/images1029_png_jpg.rf.297df2d9e07193c95073bad93ec35e84.jpg,60,69,4140,2858,1282
train/images1029_png_jpg.rf.a2a1da53ab168c04c78fbb01ef4bcef8.jpg,62,70,4340,3039,1301
train/images1029_png_jpg.rf.e50315cd9446289ac093fab5c7651738.jpg,60,71,4260,2944,1316
train/images1030_png_jpg.rf.432f37baa0b0bf9f5d5d4cfc3cd7225d.jpg,64,72,4608,3158,1450
train/images1030_png_jpg.rf.c88acbe3a153332bde7c6ee31a73d87c.jpg,64,74,4736,3459,1277
train/images1031_png_jpg.rf.1df391e7d1359dae1c7ca86f9b08eb7d.jpg,49,83,4067,3199,868
train/images1031_png_jpg.rf.b0cd4e7c63c99ae74ca6c7fa0d60dd09.jpg,59,82,4838,3888,950
train/images1031_png_jpg.rf.cf3357f5719b7e722fa406e4d996d6fe.jpg,71,80,5680,4053,1627
train/images1032_png_jpg.rf.8a96842d02b039ced2d38e883bd8ebe8.jpg,29,79,2291,1550,741
train/images1032_png_jpg.rf.a1feb3358dbbeedce1758a541692d13e.jpg,22,74,1628,1010,618
train/images1033_png_jpg.rf.34dd0e5a24dc5621ed383c95fb096b38.jpg,37,89,3293,2311,982
train/images1033_png_jpg.rf.f2baf5d85ab227c251af7b74ef1209de.jpg,26,76,1976,1163,813
train/images1047_png_jpg.rf.14ede0293315bd5629b0b35564482b6b.jpg,121,114,13794,10621,3173
train/images1047_png_jpg.rf.14ede0293315bd5629b0b35564482b6b.jpg,16,36,576,450,126
train/images1047_png_jpg.rf.d875e497795159d191d87e7979b1cf0b.jpg,104,108,11232,8494,2738
