imgpath,height,width,area,pothole_area,nonpothole_area
/media/gufran/GsHDD/Work/Projects/AI/PotholeSeverityClassification/Data/Step1_data/OriginalDataset/458_png.rf.0b177d980d199bfc4af20479076a4693.jpg,58,226,13108,10094,3014
/media/gufran/GsHDD/Work/Projects/AI/PotholeSeverityClassification/Data/Step1_data/OriginalDataset/458_png.rf.0b177d980d199bfc4af20479076a4693.jpg,54,181,9774,8430,1344
/media/gufran/GsHDD/Work/Projects/AI/PotholeSeverityClassification/Data/Step1_data/OriginalDataset/600_png.rf.10df765e7f4560535cce7eacaf3d3253.jpg,61,109,6649,5011,1638
/media/gufran/GsHDD/Work/Projects/AI/PotholeSeverityClassification/Data/Step1_data/OriginalDataset/1004_png.rf.df29496350834f39a45fccdf520afc4b.jpg,94,88,8272,7056,1216
/media/gufran/GsHDD/Work/Projects/AI/PotholeSeverityClassification/Data/Step1_data/OriginalDataset/1005_png.rf.387999f45be31ce5eca6e0a1d4a910f0.jpg,236,280,66080,54981,11099
/media/gufran/GsHDD/Work/Projects/AI/PotholeSeverityClassification/Data/Step1_data/OriginalDataset/1005_png.rf.387999f45be31ce5eca6e0a1d4a910f0.jpg,70,164,11480,8345,3135
/media/gufran/GsHDD/Work/Projects/AI/PotholeSeverityClassification/Data/Step1_data/OriginalDataset/1006_png.rf.dec56d2fc9bb2f8e68a0237fe5339763.jpg,43,142,6106,4609,1497
/media/gufran/GsHDD/Work/Projects/AI/PotholeSeverityClassification/Data/Step1_data/OriginalDataset/100_png.rf.8b24d0221e213406b1c0fb47edf25eec.jpg,64,293,18752,13842,4910
/media/gufran/GsHDD/Work/Projects/AI/PotholeSeverityClassification/Data/Step1_data/OriginalDataset/1016_png.rf.31c6e4f0cae3f621144de75e6be34d57.jpg,227,295,66965,53366,13599
/media/gufran/GsHDD/Work/Projects/AI/PotholeSeverityClassification/Data/Step1_data/OriginalDataset/1016_png.rf.31c6e4f0cae3f621144de75e6be34d57.jpg,73,158,11534,8565,2969
/media/gufran/GsHDD/Work/Projects/AI/PotholeSeverityClassification/Data/Step1_data/OriginalDataset/1018_png.rf.d19c9f31fb789e5d9c0e9d93d5f55496.jpg,49,130,6370,4965,1405
/media/gufran/GsHDD/Work/Projects/AI/PotholeSeverityClassification/Data/Step1_data/OriginalDataset/1019_png.rf.f91432cc25f40b13bc62dc9ae522b7b4.jpg,58,130,7540,6172,1368
